CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Churn
1,Male,68,17,6365.68,339619.69,Monthly,Credit Card,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Yes
2,Female,57,52,7282.59,215761.66,Quarterly,Cheque,Fiber optic,No,No,No,No,Yes,Yes,No
3,Male,24,12,3366.31,632734.95,Semi Annually,Credit Card,Fiber optic,Yes,No,Yes,No,No,No,Yes
4,Male,49,48,4723.65,731320.68,Annually,Cheque,No,No,Yes,No,Yes,No,Yes,No
5,Male,65,22,6728.2,251710.54,Annually,Cash,No,Yes,No,No,Yes,Yes,No,Yes
6,Female,36,49,11315.4,623000.41,Quarterly,Bank Transfer,DSL,No,No,No,Yes,No,Yes,Yes
7,Male,23,52,7783.77,525490.53,Annually,Digital Wallet,Fiber optic,No,Yes,Yes,No,No,Yes,Yes
8,Male,37,1,4130.78,791884.95,Quarterly,Credit Card,DSL,Yes,Yes,No,Yes,Yes,Yes,No
9,Male,44,66,323.53,171154.24,Annually,Credit Card,Fiber optic,Yes,No,No,Yes,No,Yes,No
10,Female,70,64,11783.65,768936.41,Quarterly,Cash,DSL,Yes,Yes,No,Yes,No,No,No
11,Male,60,8,6017.22,259064.92,Semi Annually,Credit Card,Fiber optic,Yes,No,Yes,No,Yes,No,No
12,Male,54,25,11274.24,335443.9,Monthly,Bank Transfer,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes
13,Male,65,66,6682.27,293472.39,Monthly,Bank Transfer,No,No,No,Yes,Yes,No,Yes,Yes
14,Male,24,70,7344.49,222076.05,Monthly,Cash,DSL,No,Yes,Yes,No,Yes,Yes,Yes
15,Female,76,51,8600.56,557645.84,Monthly,Cheque,No,No,No,No,No,Yes,No,Yes
16,Male,22,53,3987.51,475424.8,Quarterly,Cheque,No,No,Yes,Yes,No,Yes,Yes,No
17,Female,28,15,8448.01,251496.64,Annually,Credit Card,DSL,Yes,Yes,No,Yes,No,Yes,Yes
18,Female,32,50,6416.14,114447.84,Monthly,Credit Card,No,No,No,No,Yes,No,No,Yes
19,Female,20,71,8135.26,260726.75,Annually,Cash,Fiber optic,No,No,Yes,No,Yes,No,No
20,Male,75,38,10062.83,311172.74,Quarterly,Bank Transfer,Fiber optic,Yes,No,Yes,Yes,No,Yes,Yes
21,Female,22,40,2373.9,310716.22,Quarterly,Cash,Fiber optic,No,No,Yes,No,No,No,Yes
22,Male,40,66,7439.9,292235.03,Monthly,Cheque,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No
23,Female,70,39,814.91,48490.78,Semi Annually,Bank Transfer,No,Yes,No,Yes,Yes,No,No,Yes
24,Female,54,17,1404.96,376586.16,Monthly,Credit Card,DSL,No,Yes,Yes,No,Yes,No,Yes
25,Female,26,7,8160.21,670604.4,Annually,Cheque,No,No,Yes,No,No,Yes,Yes,Yes
26,Female,32,39,1037.06,152489.37,Monthly,Digital Wallet,DSL,No,Yes,Yes,No,Yes,Yes,Yes
27,Female,20,68,7225.22,125069.3,Quarterly,Cheque,DSL,Yes,No,Yes,Yes,No,No,Yes
28,Female,46,35,2796.15,382762.33,Quarterly,Bank Transfer,No,Yes,No,Yes,Yes,Yes,No,No
29,Female,23,51,3788.2,302776.38,Annually,Bank Transfer,No,Yes,No,No,Yes,No,No,Yes
30,Female,34,47,1729.71,453411.71,Annually,Cash,Fiber optic,No,No,No,Yes,Yes,Yes,Yes
31,Male,43,36,3134.28,758188.7,Annually,Bank Transfer,DSL,No,Yes,Yes,No,Yes,No,No
32,Male,38,64,9891.24,611100.14,Monthly,Digital Wallet,DSL,No,No,Yes,Yes,No,Yes,Yes
33,Female,25,13,7738.77,552775.94,Monthly,Digital Wallet,DSL,Yes,Yes,No,Yes,No,No,Yes
34,Female,38,18,11407.17,338590.19,Semi Annually,Bank Transfer,Fiber optic,No,Yes,No,No,Yes,Yes,No
35,Female,74,21,775.19,237014.27,Annually,Credit Card,DSL,Yes,Yes,No,Yes,No,Yes,Yes
36,Male,28,65,9550.46,436808.64,Semi Annually,Bank Transfer,DSL,Yes,Yes,No,Yes,No,Yes,No
37,Female,55,8,8449.11,709500.39,Semi Annually,Credit Card,Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes
38,Male,25,48,3278.53,702626.58,Quarterly,Bank Transfer,No,No,Yes,No,No,Yes,Yes,No
39,Male,59,43,8804.17,361956.81,Semi Annually,Cheque,Fiber optic,Yes,No,No,Yes,Yes,No,Yes
40,Male,41,53,8655.27,204514.08,Quarterly,Bank Transfer,Fiber optic,No,Yes,No,Yes,No,No,No
41,Male,78,27,5620.27,188022.12,Annually,Cheque,No,No,Yes,No,Yes,No,Yes,No
42,Male,52,19,8325.95,36850.85,Quarterly,Credit Card,DSL,No,No,No,No,Yes,Yes,No
